work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Industry Sector,Top Skills Required,Certifications Preferred,Educational Requirements,Job Demand Trends,Career Progression Path,Job Posting Sources,Work-Life Balance Score,Job Satisfaction Rating,Job Growth Rate (%),Security Clearance Required,Primary Cybersecurity Domain,Remote Work Availability,Bonus Eligibility
2022,EN,FT,Cyber Program Manager,63000,USD,63000,US,50,US,S,Finance,"Risk Management, Incident Response, Compliance",CISSP,Certification Only,Stable,Cyber Analyst → Security Engineer → Cyber Program Manager,ZipRecruiter,2.774851228,4.370914724,14.36,Top Secret,Cloud Security,Hybrid,Yes
2022,MI,FT,Security Analyst,95000,USD,95000,US,0,US,M,Consulting,"SOC Analysis, Threat Intelligence, SIEM",CEH,Bachelor’s,Stable,IT Support → Security Analyst → Security Engineer,Company Website,4.88093258,3.913718844,28.77,Yes,Network Security,No,Yes
2022,MI,FT,Security Analyst,70000,USD,70000,US,0,US,M,Technology,"SOC Analysis, Threat Intelligence, SIEM",OSCP,PhD,Stable,IT Support → Security Analyst → Security Engineer,Indeed,3.378044119,4.437862232,23.3,No,Network Security,No,Yes
2022,MI,FT,IT Security Analyst,250000,BRL,48853,BR,50,BR,L,Finance,"Vulnerability Assessment, Penetration Testing, IDS/IPS",Security+,Master’s,Stable,System Admin → IT Security Analyst → Security Architect,Company Website,4.266565532,2.632535941,19.97,Secret,Network Security,Hybrid,Yes
2022,EN,CT,Cyber Security Analyst,120000,USD,120000,BW,100,BW,S,Finance,"Firewall Management, Network Security, Cryptography",AWS Security,Certification Only,Stable,Network Engineer → Cyber Security Analyst → Security Consultant,LinkedIn,4.56612627,2.68326267,8.9,No,Network Security,Yes,Yes
2022,EX,FT,Application Security Architect,315000,USD,315000,US,100,US,L,Finance,General Security Knowledge,CISM,PhD,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,3.268593535,3.689125329,8.9,No,Cloud Security,Yes,Yes
2022,SE,FT,Security Researcher,220000,USD,220000,US,100,US,M,Retail,General Security Knowledge,OSCP,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,2.83108787,4.49008891,6.45,No,Governance & Compliance,Yes,No
2022,SE,FT,Security Researcher,140000,USD,140000,US,100,US,M,Technology,General Security Knowledge,CISSP,PhD,Decreasing,Entry Level → Mid Level → Senior Level,Glassdoor,3.845869214,4.159084989,26.65,No,Network Security,Yes,Yes
2021,MI,FT,Information Security Compliance Analyst,55000,GBP,75650,GB,50,GB,L,Education,General Security Knowledge,OSCP,Certification Only,Increasing,Entry Level → Mid Level → Senior Level,LinkedIn,2.550328534,2.565344925,20.03,No,Network Security,Hybrid,Yes
2022,EX,FT,Information Security Compliance Manager,360000,USD,360000,TW,100,SG,L,Technology,General Security Knowledge,OSCP,PhD,Increasing,Entry Level → Mid Level → Senior Level,Indeed,4.614145248,2.746049742,22.7,Yes,Risk Management,Yes,Yes
2021,EN,FT,Security Specialist,50000,USD,50000,US,0,US,S,Healthcare,General Security Knowledge,CISSP,Certification Only,Stable,Entry Level → Mid Level → Senior Level,Company Website,4.094916214,4.79198194,5.51,Yes,Application Security,No,Yes
2022,SE,FT,Application Security Specialist,85000,USD,85000,US,100,US,L,Retail,General Security Knowledge,AWS Security,PhD,Decreasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,4.071115672,4.380148267,29.25,No,Network Security,Yes,Yes
2022,MI,FT,Cyber Security Consultant,90000,USD,90000,US,100,US,L,Education,General Security Knowledge,CEH,Certification Only,Increasing,Entry Level → Mid Level → Senior Level,Company Website,3.536111243,2.829528691,25.81,No,Network Security,Yes,No
2022,EN,FT,Security Specialist,50000,USD,50000,US,0,US,S,Government,General Security Knowledge,Security+,Master’s,Increasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,2.593243924,4.055970748,10.31,Yes,Governance & Compliance,No,Yes
2022,EX,FT,Head of Information Security,290000,USD,290000,US,100,US,L,Retail,General Security Knowledge,OSCP,Master’s,Decreasing,Entry Level → Mid Level → Senior Level,Company Website,3.769113945,4.170409588,9.55,Yes,Application Security,Yes,No
2021,EX,FT,Head of Information Security,232000,USD,232000,US,100,US,L,Healthcare,General Security Knowledge,AWS Security,PhD,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,3.511779982,2.699063159,9.59,No,Network Security,Yes,Yes
2022,EX,FT,Head of Information Security,244000,USD,244000,US,100,US,L,Technology,General Security Knowledge,OSCP,Bachelor’s,Decreasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.868927942,3.203936988,12.61,No,Identity Management,Yes,Yes
2022,EN,FT,Security Incident Response Engineer,112000,USD,112000,US,100,US,L,Education,General Security Knowledge,CISSP,PhD,Decreasing,Entry Level → Mid Level → Senior Level,Glassdoor,3.144751721,4.992722429,18.12,No,Application Security,Yes,No
2022,EN,FT,Cyber Security Analyst,72000,USD,72000,US,100,US,L,Consulting,"Firewall Management, Network Security, Cryptography",Security+,PhD,Decreasing,Network Engineer → Cyber Security Analyst → Security Consultant,LinkedIn,4.354158669,3.198662095,15.8,Yes,Network Security,Yes,Yes
2022,SE,FT,Ethical Hacker,60000,EUR,64955,NL,50,NL,M,Retail,General Security Knowledge,CISM,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Company Website,3.900278483,4.94491454,12.28,Yes,Governance & Compliance,Hybrid,Yes
2020,EN,FT,Cyber Security Analyst,450000,INR,6072,IN,50,IN,L,Government,"Firewall Management, Network Security, Cryptography",CISSP,Certification Only,Stable,Network Engineer → Cyber Security Analyst → Security Consultant,Company Website,3.950485947,4.424815468,20.3,Yes,Network Security,Hybrid,Yes
2021,MI,FT,Cyber Security Consultant,45000,EUR,53192,NL,100,NL,L,Consulting,General Security Knowledge,CISSP,Master’s,Increasing,Entry Level → Mid Level → Senior Level,LinkedIn,2.820288133,3.690498774,8.49,No,Governance & Compliance,Yes,Yes
2022,EX,FT,Chief Information Security Officer,109000,EUR,118002,DE,100,DE,M,Education,General Security Knowledge,CISSP,PhD,Increasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,4.815806361,2.558474076,12.3,Yes,Risk Management,Yes,No
2022,MI,FT,DevSecOps Engineer,152000,USD,152000,US,0,US,M,Education,General Security Knowledge,CISM,Master’s,Increasing,Entry Level → Mid Level → Senior Level,Company Website,3.688152651,3.667066061,14.16,Yes,Risk Management,No,Yes
2022,MI,FT,DevSecOps Engineer,91000,USD,91000,US,0,US,M,Finance,General Security Knowledge,Security+,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,3.534025174,4.211425671,16.4,No,Application Security,No,No
2022,SE,FT,IT Security Manager,120000,EUR,129910,DE,50,DE,L,Consulting,General Security Knowledge,OSCP,Master’s,Decreasing,Entry Level → Mid Level → Senior Level,Company Website,2.712946267,3.2903364,24.63,Yes,Governance & Compliance,Hybrid,No
2022,MI,FT,Application Security Engineer,207000,USD,207000,US,100,US,L,Government,General Security Knowledge,CISSP,PhD,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,3.162841239,3.465970772,9.99,No,Cloud Security,Yes,Yes
2022,EX,FT,Chief Information Security Officer,300000,USD,300000,AE,50,AE,L,Technology,General Security Knowledge,Security+,PhD,Decreasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.717402115,2.597090136,17.86,No,Cloud Security,Hybrid,No
2022,MI,FT,Vulnerability Analyst,115000,USD,115000,US,100,US,L,Technology,General Security Knowledge,Security+,Certification Only,Increasing,Entry Level → Mid Level → Senior Level,LinkedIn,4.290000816,2.662217394,19.81,No,Application Security,Yes,Yes
2022,SE,FT,Cyber Security Engineer,126700,CAD,99397,CA,100,CA,L,Technology,General Security Knowledge,CISM,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,3.328376154,2.524555366,6.16,Yes,Cloud Security,Yes,No
2022,EN,FT,Information Security Analyst,52000,USD,52000,US,100,US,L,Healthcare,General Security Knowledge,CISSP,Master’s,Stable,Entry Level → Mid Level → Senior Level,Indeed,2.600368628,2.688730071,20.19,No,Network Security,Yes,Yes
2022,SE,FT,Principal Application Security Engineer,237000,USD,237000,US,100,US,L,Consulting,General Security Knowledge,CISSP,Bachelor’s,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,4.939773142,4.923984682,9.26,Top Secret,Cloud Security,Yes,No
2021,EN,FT,Cyber Security Architect,150000,USD,150000,US,50,US,M,Education,General Security Knowledge,OSCP,PhD,Stable,Entry Level → Mid Level → Senior Level,Company Website,4.367275039,4.08301224,6.63,Yes,Cloud Security,Hybrid,Yes
2022,SE,FT,Information Security Manager,110000,USD,110000,US,0,US,L,Government,General Security Knowledge,AWS Security,PhD,Decreasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.384606075,4.245055202,28.72,No,Governance & Compliance,No,Yes
2022,EN,FT,SOC Analyst,104000,USD,104000,US,100,US,L,Retail,General Security Knowledge,CEH,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,LinkedIn,4.554713568,4.675545873,29.14,No,Network Security,Yes,Yes
2021,EN,FT,SOC Analyst,75000,USD,75000,US,0,US,M,Education,General Security Knowledge,OSCP,PhD,Stable,Entry Level → Mid Level → Senior Level,Glassdoor,3.36517601,4.622717673,25.21,Yes,Network Security,No,No
2022,SE,FT,DevSecOps Engineer,165000,USD,165000,US,100,US,L,Education,General Security Knowledge,CISM,Master’s,Stable,Entry Level → Mid Level → Senior Level,Company Website,3.239556098,3.838186837,12.62,Yes,Cloud Security,Yes,Yes
2022,SE,FT,Penetration Tester,190000,USD,190000,US,100,US,L,Consulting,General Security Knowledge,Security+,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,2.992629132,3.53147427,7.44,Yes,Application Security,Yes,Yes
2022,SE,FT,Cyber Threat Intelligence Analyst,135000,USD,135000,US,100,US,L,Technology,General Security Knowledge,CEH,Master’s,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,3.388304943,3.110748135,22.11,Yes,Identity Management,Yes,No
2022,MI,FT,Cloud Security Engineer,150000,CAD,117676,CA,100,CA,L,Retail,General Security Knowledge,CEH,Master’s,Stable,Entry Level → Mid Level → Senior Level,Indeed,4.706755544,4.344943659,16.0,Yes,Cloud Security,Yes,No
